Name,Time,Value,Category_1,Category_2,Ingredient_1,Ingredient_1_Amount,Ingredient_2,Ingredient_2_Amount,Ingredient_3,Ingredient_3_Amount,Ingredient_4,Ingredient_4_Amount
Isleworks Necklace,4,28,Accessories,Woodworks,Branch,3,Vine,1,,,,
Isleworks Coral Ring,6,42,Accessories,Marine Merchandise,Coral,3,Vine,3,,,,
Isleworks Earrings,4,44,Accessories,Creature Creations,Vine,3,Fang,1,,,,
Isleworks Silver Ear Cuffs,8,136,Accessories,Metalworks,Tinsand,3,Silver Ore,2,Coral,3,,
Isleworks Ribbon,6,54,Accessories,Textiles,Cotton Boll,2,Copper Ore,2,Vine,2,,
Isleworks Quartz Ring,8,72,Accessories,Unburied Treasures,Quartz,3,Iron Ore,3,Stone,2,,
Isleworks Macuahuitl,6,42,Arms,Woodworks,Palm Log,3,Stone,3,,,,
Isleworks Hora,6,72,Arms,Creature Creations,Stone,4,Carapace,2,,,,
Isleworks Garnet Rapier,8,136,Arms,Unburied Treasures,Copper Ore,3,Raw Island Garnet,2,Tinsand,3,,
Isleworks Iron Axe,8,72,Arms,Metalworks,Iron Ore,3,Log,3,Sand,2,,
Isleworks Crook,8,120,Arms,Woodworks,Quartz,2,Log,2,Fang,4,,
Isleworks Barbut,6,42,Attire,Metalworks,Copper Ore,3,Sand,3,,,,
Isleworks Tunic,6,72,Attire,Textiles,Vine,4,Fleece,2,,,,
Isleworks Spruce Round Shield,8,136,Attire,Woodworks,Copper Ore,3,Spruce Log,2,Stone,3,,
Isleworks Cavalier's Hat,6,81,Attire,Textiles,Cotton Boll,2,Feather,2,Hemp,2,,
Isleworks Scale Fingers,8,120,Attire,Creature Creations,Iron Ore,2,Cotton Boll,2,Carapace,4,,
Isleworks Potion,4,28,Concoctions,,Palm Leaf,2,Islewort,2,,,,
Isleworks Firesand,4,28,Concoctions,Unburied Treasures,Sand,2,Limestone,1,Islewort,1,,
Isleworks Growth Formula,8,136,Concoctions,,Islewort,3,Alyssum,2,Branch,3,,
Isleworks Essential Draught,6,54,Concoctions,Marine Merchandise,Jellyfish,2,Palm Leaf,2,Laver,2,,
Isleworks Vegetable Juice,6,78,Concoctions,,Islewort,2,Cabbage,3,Laver,1,,
Isleworks Sweet Popoto,6,72,Confections,,Sap,3,Popoto,2,Milk,1,,
Isleworks Caramels,6,81,Confections,,Sugarcane,4,Milk,2,,,,
Islefish Pie,6,78,Confections,Marine Merchandise,Islefish,2,Wheat,3,Sugarcane,1,,
Isleworks Pumpkin Pudding,6,78,Confections,,Pumpkin,3,Egg,1,Milk,1,,
Isleworks Grilled Clam,4,28,Foodstuffs,Marine Merchandise,Clam,2,Laver,2,,,,
Isleworks Baked Pumpkin,4,40,Foodstuffs,,Sap,3,Pumpkin,1,,,,
Isleworks Boiled Egg,4,44,Foodstuffs,Creature Creations,Laver,3,Egg,1,,,,
Isleworks Parsnip Salad,4,48,Foodstuffs,,Islewort,1,Parsnip,2,Sap,1,,
Isleworks Onion Soup,6,78,Foodstuffs,,Rock Salt,2,Onion,3,Islewort,1,,
Isleworks Wooden Chair,6,42,Furnishings,Woodworks,Log,4,Vine,2,,,,
Isleworks Brick Counter,6,48,Furnishings,Unburied Treasures,Clay,2,Limestone,2,Palm Log,2,,
Bronze Sheep,8,64,Furnishings,Metalworks,Tinsand,3,Copper Ore,3,Log,2,,
Isleworks Sheepfluff Rug,6,90,Furnishings,Creature Creations,Cotton Boll,2,Fleece,3,Hemp,1,,
Isleworks Bed,8,120,Furnishings,Textiles,Cotton Boll,2,Fur,4,Log,2,,
Isleworks Butter,4,44,Ingredients,Creature Creations,Rock Salt,3,Milk,1,,,,
Isleworks Squid Ink,4,36,Ingredients,Marine Merchandise,Squid,2,Rock Salt,2,,,,
Isleworks Tomato Relish,4,52,Ingredients,,Sugarcane,1,Tomato,2,Islewort,1,,
Isleberry Jam,6,78,Ingredients,,Sugarcane,2,Isleberry,3,Sap,1,,
Isleworks Sauerkraut,4,40,Preserved Food,,Rock Salt,3,Cabbage,1,,,,
Isleworks Corn Flakes,4,52,Preserved Food,,Sugarcane,2,Corn,2,,,,
Isleworks Salt Cod,6,54,Preserved Food,Marine Merchandise,Islefish,4,Rock Salt,2,,,,
Isleworks Pickled Radish,8,104,Preserved Food,,Apple,2,Radish,4,Sugarcane,2,,
Isleworks Culinary Knife,4,44,Sundries,Creature Creations,Palm Log,3,Claw,1,,,,
Isleworks Brush,4,44,Sundries,Woodworks,Palm Log,3,Fur,1,,,,
Isleworks Shark Oil,8,136,Sundries,Marine Merchandise,Laver,3,Hammerhead,2,Sap,3,,
Isleworks Rope,4,36,Sundries,Textiles,Hemp,2,Islewort,1,Vine,1,,
Isleworks Horn,6,81,Sundries,Creature Creations,Clay,2,Horn,2,Hemp,2,,
Isleworks Porcelain Vase,8,72,Sundries,Unburied Treasures,Leucogranite,3,Quartz,3,Clay,2,,
Isleworks Garden Scythe,6,90,Sundries,Metalworks,Iron Ore,2,Claw,3,Palm Log,1,,
Isleworks Isloaf,4,52,Foodstuffs,Concoctions,Wheat,2,Islefish,1,Rock Salt,1,,
Isleworks Popoto Salad,4,52,Foodstuffs,,Popoto,2,Apple,1,Islewort,1,,
Isleworks Coconut Juice,4,36,Confections,Concoctions,Coconut,2,Sugarcane,2,,,,
Isleworks Honey,4,36,Confections,Ingredients,Beehive Chip,2,Sap,2,,,,
Isleworks Dried Flowers,6,54,Sundries,Furnishings,Multicolored Isleblooms,3,Coconut,2,Sap,1,,
Isleworks Coral Sword,8,72,Arms,Marine Merchandise,Coral,3,Resin,3,Palm Log,2,,
Isleworks Powdered Paprika,4,52,Ingredients,Concoctions,Paprika,2,Islewort,2,,,,
Isleworks Cawl Cennin,6,90,Concoctions,Creature Creations,Leek,3,Milk,1,Laver,3,,
Isleworks Dressing,4,52,Ingredients,,Onion,2,Sap,1,Laver,1,,
Isleworks Seashine Opal,8,80,Unburied Treasures,,Wood Opal,4,Sand,4,,,,
Isleworks Spectacles,6,54,Attire,Sundries,Mythril Ore,3,Quartz,2,Copper Ore,1,,
Isleworks Bouillabaisse,8,136,Foodstuffs,Marine Merchandise,Cave Shrimp,2,Clam,2,Squid,2,Tomato,2
Isleworks Lantern,8,80,Sundries,,Glimshroom,3,Quartz,3,Copper Ore,2,,
Isleworks Natron,4,36,Sundries,Concoctions,Effervescent Water,2,Rock Salt,2,,,,
Isleworks Stove,6,54,Furnishings,Metalworks,Coal,2,Iron Ore,3,Leucogranite,1,,
Isleworks Bathtub,8,72,Unburied Treasures,Furnishings,Marble,4,Leucogranite,2,Clay,2,,
Isleworks Fossil Display,6,54,Unburied Treasures,Creature Creations,Shale,3,Palm Log,2,Cotton Boll,1,,
Isleworks Cooling Glass,8,80,Unburied Treasures,,Spectrine,4,Sand,4,,,,
Isleworks Runner Bean Saute,4,52,Foodstuffs,,Runner Beans,2,Rock Salt,2,,,,
Isleworks Beet Soup,6,78,Foodstuffs,,Beet,3,Popoto,1,Milk,1,,
Isleworks Imam Bayildi,6,90,Foodstuffs,,Eggplant,2,Onion,2,Tomato,2,,
Isleworks Pickled Zucchini,8,104,Preserved Food,,Zucchini,4,Laver,2,Sugarcane,2,,
Isleworks Brass Serving Dish,4,36,Sundries,Metalworks,Yellow Copper Ore,2,Copper Ore,2,,,,
Island Grinding Wheel,6,60,Sundries,,Hawk's Eye Sand,2,Mythril Ore,2,Sand,2,,
Island Durium Tathlums,6,60,Arms,Metalworks,Durium Sand,2,Iron Ore,2,Quartz,2,,
Isleworks Gold Hairpin,8,72,Accessories,Metalworks,Gold Ore,4,Yellow Copper Ore,2,Quartz,2,,
Mammet of the Cycle Award,8,80,Furnishings,,Crystal Formation,2,Spectrine,2,Mythril Ore,2,Marble,2
Isleworks Fruit Punch,4,52,Confections,,Watermelon,1,Isleberry,1,Apple,1,Coconut,1
Isleworks Buffalo Bean Salad,4,52,Foodstuffs,Creature Creations,Buffalo Beans,2,Milk,2,,,,
Isleworks Peperoncino,6,75,Foodstuffs,,Broccoli,2,Wheat,1,Rock Salt,3,,
Isleworks Sweet Popoto Pie,8,120,Foodstuffs,Confections,Sweet Popoto,3,Wheat,1,Egg,1,Sugarcane,3
